LocationCode|City|StateProvince|Country|Description
AAL|Aalborg|null|DK|Aalborg Airport
AAN|Al Ain|null|AE|Al Ain Airport
AAQ|Anapa|null|RU|Anapa Airport
AAR|Aarhus|null|DK|Tirstrup Airport
ABE|Allentown|PA|US|Lehigh Valley International Airport
ABE|Easton|PA|US|Lehigh Valley International Airport
ABE|Bethlehem|PA|US|Lehigh Valley International Airport
ABI|Abilene|TX|US|Abilene Municipal Airport
ABJ|Abidjan|null|CI|Felix Houphouet Boigny Airport
ABQ|Albuquerque|NM|US|Albuquerque International Airport
ABR|Aberdeen|SD|US|Aberdeen Municipal Airport
ABX|Albury|NS|AU|Albury Airport
ABY|Albany|GA|US|Dougherty County Airport
ABZ|Aberdeen|null|GB|Dyce Airport
ACA|Acapulco|null|MX|Alvarez International Airport
ACE|Lanzarote|null|ES|Lanzarote Airport
ACK|Nantucket|MA|US|Nantucket Memorial Airport
ACT|Waco|TX|US|Waco Municipal Airport
ACV|Arcata|CA|US|Arcata Airport
ACY|Atlantic City|NJ|US|Atlantic City International Airport
ADA|Adana|null|TR|Adana Airport
ADB|Izmir|null|TR|Adnan Menderes Airport
ADD|Addis Ababa|null|ET|Bole Airport
ADE|Aden|null|YE|Aden International Airport
ADL|Adelaide|SA|AU|Adelaide Airport
ADQ|Kodiak|AK|US|Kodiak Airport
ADZ|San Andres Island|null|CO|San Andres Island Airport
AEP|Buenos Aires|null|AR|Jorge Newbery Airport
AES|Aalesund|null|NO|Vigra Airport
AEX|Alexandria|LA|US|Alexandria International Airport
AGA|Agadir|null|MA|Agadir Almassira Airport
AGB|Augsburg|null|DE|Augsburg - Muehlhausen Airport
AGF|Agen|null|FR|La Garenne Airport
AGH|Helsingborg|null|SE|Angelholm Airport
AGP|Malaga|null|ES|Malaga Airport
AGR|Agra|null|IN|Kheria Airport
AGS|Augusta|GA|US|Bush Field
AGU|Aguascalientes|null|MX|Aguascalients Airport
AHN|Athens|GA|US|Athens Airport
AHO|Alghero|null|IT|Fertilia Airport
AIA|Alliance|NE|US|Alliance Airport
AIT|Aitutaki|null|CK|Aitutaki Airport
AIY|Atlantic City|NJ|US|Bader Field
AJA|Ajaccio|null|FR|Campo Dell Oro Airport
AJU|Aracaju|null|BR|Aracaju Airport
AKJ|Asahikawa|null|JP|Asahikawa Airport
